ID,Grade,Source,Body,Question,Solution-Type,Answer,Formula
nluds-0001,1,http://www.k5learning.com,Seven red apples and two green apples are in the basket.,How many apples are in the basket?,Addition,9 (apples),7+2=9
nluds-0002,1,http://www.k5learning.com,Ellen has six more balls than Marin. Marin has nine balls.,How many balls does Ellen have?,Addition,15 (balls),6+9=15
nluds-0003,1,http://www.k5learning.com,Janet has nine oranges and Sharon has seven oranges.,How many oranges do Janet and Sharon have together? ,Addition,16 (oranges),9+7=16
nluds-0004,1,http://www.k5learning.com,Allan brought two balloons and Jake brought four balloons to the park.,How many balloons did Allan and Jake have in the park?,Addition,6 (balloons),2+4=6
nluds-0005,1,http://www.k5learning.com,Adam has five more apples than Jackie. Jackie has nine apples.,How many apples does Adam have?,Addition,14 (apples),5+9=14
nluds-0006,1,http://www.k5learning.com,Brian has four more plums than Paul. Paul has seven plums.,How many plums does Brian have?,Addition,11 (plums),4+7=11
nluds-0007,1,http://www.k5learning.com,Sandra took six cups of coffee and Marcie took two cups of coffee.,How many cups of coffee did Sandra and Marcie take in total?,Addition,8 (cups),2+6=8
nluds-0008,1,http://www.k5learning.com,17 plums were in the basket. More plums were added to the basket. Now there are 21 plums.,How many plums were added to the basket?,Subtraction,4 (plums),21-17=4
nluds-0009,1,http://www.k5learning.com,14 red plums and four green plums are in the basket.,How many plums are in the basket? ,Addition,18 (plums),4+14=18
nluds-0010,1,http://www.k5learning.com,Marin has nine apples and Donald has two apples.,How many apples do Marin and Donald have together?,Addition,11 (apples),9+2=11
nluds-0011,1,http://www.k5learning.com,46 apples were in the basket. 22 are red and the rest are green.,How many apples are green?,Subtraction,24 (apples),46-22=24
nluds-0012,1,http://www.k5learning.com,Five red peaches and 14 green peaches are in the basket.,How many peaches are in the basket? ,Addition,19 (peaches),5+14=19
nluds-0013,1,http://www.k5learning.com,20 peaches are in the basket. 25 more peaches are put in the basket.,How many peaches are in the basket now?,Addition,45 (peaches),20+25=45
nluds-0014,1,http://www.k5learning.com,Two marbles are in the basket. Two marbles are taken out of the basket.,How many marbles are in the basket now?,Subtraction,0 (marbles),2-2=0
